epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,9286.67,0.44132,0.42415,0.31324,0.00253,0.25385,0.92761,0.93057,0.97391,0.92262,0.92221,0.93856,0.9729,0.86586,0.28875,0.35871,0.25553,0.00329,0,0.000614,0.000614,0.000614
72,9417.18,0.43457,0.41677,0.30341,0.00245,0.2422,0.93554,0.91919,0.9717,0.91898,0.93554,0.91919,0.96938,0.86378,0.28466,0.35655,0.24873,0.00322,0,0.0005942,0.0005942,0.0005942
73,9547.6,0.42766,0.41119,0.29318,0.00238,0.2359,0.93532,0.93346,0.97391,0.92423,0.93532,0.93346,0.97148,0.86735,0.2844,0.35762,0.23879,0.00326,0,0.0005744,0.0005744,0.0005744
74,9678.25,0.42581,0.40999,0.29834,0.00238,0.24759,0.94817,0.90865,0.97407,0.92396,0.94275,0.91717,0.97183,0.86452,0.28238,0.35022,0.25216,0.00328,0,0.0005546,0.0005546,0.0005546
75,9808.94,0.42682,0.4161,0.29433,0.00244,0.23668,0.93377,0.92733,0.97675,0.92674,0.93077,0.92692,0.97497,0.86764,0.27719,0.34485,0.23688,0.0031,0,0.0005348,0.0005348,0.0005348
76,9939.53,0.4224,0.40846,0.2946,0.00235,0.23564,0.92957,0.93244,0.97409,0.92425,0.92836,0.93122,0.97235,0.86908,0.28239,0.35193,0.23526,0.00326,0,0.000515,0.000515,0.000515
77,10070.1,0.42286,0.40466,0.29339,0.00236,0.23709,0.91596,0.94255,0.9727,0.92462,0.91596,0.94255,0.97137,0.86549,0.28285,0.34766,0.24702,0.00332,0,0.0004952,0.0004952,0.0004952
78,10200.6,0.4128,0.39806,0.28299,0.00229,0.23014,0.94303,0.92326,0.9738,0.923,0.94128,0.92205,0.97233,0.86656,0.28161,0.35133,0.25258,0.00337,0,0.0004754,0.0004754,0.0004754
79,10331.1,0.41983,0.4059,0.28576,0.0023,0.22417,0.94351,0.92692,0.97444,0.92472,0.94309,0.92692,0.97284,0.86819,0.28117,0.34942,0.25153,0.00339,0,0.0004556,0.0004556,0.0004556
80,10461.6,0.40673,0.39737,0.28131,0.00224,0.22289,0.91965,0.94798,0.97569,0.9252,0.91965,0.94798,0.97398,0.86909,0.28229,0.35127,0.24152,0.00334,0,0.0004358,0.0004358,0.0004358
81,10592.2,0.41152,0.40097,0.29312,0.00232,0.23227,0.93262,0.92726,0.97578,0.92466,0.93262,0.92726,0.97502,0.86674,0.28034,0.34962,0.24017,0.00328,0,0.000416,0.000416,0.000416
82,10722.8,0.40792,0.39774,0.28388,0.00225,0.23479,0.94132,0.9257,0.97623,0.92911,0.94132,0.9257,0.97534,0.87209,0.27317,0.35455,0.23177,0.00306,0,0.0003962,0.0003962,0.0003962
83,10853.2,0.40169,0.395,0.27894,0.00223,0.23235,0.93481,0.93788,0.976,0.92772,0.9336,0.93666,0.97399,0.87162,0.27453,0.35365,0.22905,0.00303,0,0.0003764,0.0003764,0.0003764
84,10983.5,0.4103,0.38818,0.2803,0.00231,0.23046,0.94776,0.92813,0.97774,0.92837,0.94652,0.92691,0.97576,0.87231,0.27732,0.35267,0.2349,0.00309,0,0.0003566,0.0003566,0.0003566
85,11113.9,0.4067,0.39644,0.27267,0.00225,0.20523,0.94903,0.92935,0.97735,0.9275,0.94778,0.92814,0.97419,0.87382,0.27742,0.35465,0.22505,0.00314,0,0.0003368,0.0003368,0.0003368
86,11244.3,0.40359,0.39938,0.27062,0.00217,0.20856,0.93843,0.92826,0.97743,0.92945,0.9372,0.92704,0.97537,0.87499,0.27135,0.35573,0.23734,0.00304,0,0.000317,0.000317,0.000317
87,11374.7,0.39028,0.388,0.26756,0.00213,0.2183,0.95494,0.91839,0.97704,0.93041,0.95367,0.91717,0.97564,0.87586,0.27135,0.34953,0.23361,0.00309,0,0.0002972,0.0002972,0.0002972
88,11505.1,0.39087,0.39056,0.27151,0.00212,0.22224,0.938,0.93057,0.97586,0.92795,0.93677,0.92935,0.97427,0.87366,0.27089,0.35161,0.24537,0.00303,0,0.0002774,0.0002774,0.0002774
89,11635.5,0.39086,0.39756,0.26466,0.00211,0.21068,0.94201,0.92814,0.97737,0.93152,0.94078,0.92692,0.97564,0.8745,0.27331,0.35709,0.21994,0.00307,0,0.0002576,0.0002576,0.0002576
90,11765.8,0.38946,0.38638,0.26016,0.0021,0.21168,0.93671,0.91941,0.97664,0.92905,0.93547,0.9182,0.97439,0.87345,0.26756,0.35657,0.23747,0.00293,0,0.0002378,0.0002378,0.0002378
91,11895.4,0.33338,0.36189,0.21452,0.0028,0.1155,0.92142,0.93301,0.97251,0.92479,0.92022,0.93179,0.96636,0.86918,0.26743,0.36445,0.24257,0.00294,0,0.000218,0.000218,0.000218
92,12024.3,0.33035,0.35909,0.20308,0.00281,0.10846,0.93352,0.93057,0.97463,0.92741,0.9323,0.92935,0.97382,0.87231,0.27016,0.36441,0.22337,0.00299,0,0.0001982,0.0001982,0.0001982
93,12153.1,0.3283,0.35733,0.19951,0.00267,0.10981,0.92879,0.93725,0.97584,0.92906,0.93952,0.92205,0.97504,0.87285,0.26816,0.36447,0.21773,0.00296,0,0.0001784,0.0001784,0.0001784
94,12281.8,0.3239,0.34818,0.18611,0.00264,0.10518,0.94226,0.91596,0.97545,0.9293,0.94101,0.91474,0.97385,0.87143,0.26686,0.36818,0.22243,0.00291,0,0.0001586,0.0001586,0.0001586
95,12410.6,0.32087,0.35445,0.19352,0.0026,0.10201,0.93959,0.92814,0.97579,0.92858,0.93836,0.92692,0.97361,0.87279,0.26735,0.36921,0.22439,0.00292,0,0.0001388,0.0001388,0.0001388
96,12539.2,0.32268,0.35189,0.19267,0.00256,0.10631,0.93752,0.93057,0.97435,0.92947,0.93629,0.92935,0.97258,0.87287,0.26646,0.36488,0.23234,0.0029,0,0.000119,0.000119,0.000119
97,12667.9,0.31965,0.3474,0.18654,0.00258,0.09788,0.93497,0.92816,0.97533,0.92864,0.93374,0.92694,0.97324,0.87177,0.26705,0.3643,0.22954,0.00291,0,9.92e-05,9.92e-05,9.92e-05
98,12796.5,0.31085,0.35195,0.18762,0.00236,0.10275,0.93422,0.93423,0.97683,0.9294,0.933,0.93301,0.97455,0.87345,0.26673,0.36179,0.22878,0.00291,0,7.94e-05,7.94e-05,7.94e-05
99,12925.2,0.31056,0.34724,0.18576,0.00247,0.09785,0.93689,0.93057,0.97736,0.93095,0.93567,0.92935,0.97503,0.87451,0.26603,0.36678,0.22768,0.00292,0,5.96e-05,5.96e-05,5.96e-05
100,13053.8,0.31127,0.34612,0.18214,0.00245,0.10062,0.93942,0.93179,0.97733,0.93037,0.93819,0.93057,0.97458,0.87366,0.26618,0.3623,0.22788,0.00293,0,3.98e-05,3.98e-05,3.98e-05
